,text,labels
0,These animals expose aggressiveness and vocalization when restrained,O B-Agr O O O B-Agr O O
1,furthermore water resources water uses and residual water supplies are estimated,O B-Agr I-Agr B-Agr I-Agr O O B-Agr O O O
2,Furthermore the population did not give extension workers their full support,O O B-Agr O O O B-Agr B-Agr O O O
3,In a grain sorghum crop irrigated at 120% of ETM half area (6000 m('2)) was submitted to water stress during the boot-early and milk stage periods,O O B-Agr B-Agr B-Agr O O O O O O B-Agr O O O O O B-Agr B-Agr O O O O B-Agr O O
4,Further results derived from the simulation model show that the irrigation water demand in Lower Saxony is basically influenced by soil conditions rather than by climatic conditions,O B-Agr O O O B-Agr O O O O B-Agr I-Agr B-Agr O B-Agr I-Agr O O O O B-Agr O O O O O O
5,This includes high species diversity in both time and space high rates of biomass accumulation closed nutrient cycling and biological control mechanisms for weeds pests and disease,O O O B-Agr I-Agr O O B-Agr O B-Agr O O O B-Agr B-Agr O O B-Agr O B-Agr I-Agr O O B-Agr B-Agr O O
6,Excreta water content increased as CBMS level increased,B-Agr B-Agr O O O O O O
7,External trade for waste paper was insignificant,O B-Agr O B-Agr I-Agr O O
8,Moreover water resources water uses and residual water supplies are estimated,O B-Agr I-Agr B-Agr I-Agr O O B-Agr O O O
9,Microtubules are seen to form thick anastomosing networks,B-Agr O O O O O O B-Agr
10,The study mention to the influence of pelleting on seed viability,O O O O O O O B-Agr O B-Agr B-Agr
11,Neither males nor females exhibited definitive refractory periods,O B-Agr O B-Agr O O O O
12,In anaesthetized cats tablets caused marked ECG changes in all 6 animals combined with pronounced acidosis in 3 of the animals,O O B-Agr B-Agr O O O O O O O B-Agr O O O B-Agr O O O O B-Agr
13,C(2)H(2) reducing ability markedly change among the strains receive from soils disagree widely in their physico-chemical properties,O O B-Agr O O O O B-Agr O O B-Agr O O O O O B-Agr
14,These atmospheres were established by lowering the atmospheric pressure or by altering oxygen partial pressures at atmospheric pressure,O B-Agr O O O O O B-Agr I-Agr O O O B-Agr O I-Agr O O B-Agr
15,Acclimatization of photosynthetic capability to different light environments occurs in a number of plant species,B-Agr O O O O O B-Agr B-Agr O O O O O O B-Agr
16,Rootlets of apple trees and soil samples were liken for mycorrhizal development in soil presumption 3 unlike treatments: bark mulch grass mulch mechanical and chemical weeding,O O O B-Agr O B-Agr B-Agr O O O O B-Agr O B-Agr O O O O B-Agr O O O O O O B-Agr
17,From this were derived two dendrometric tables (tables of wood over 3 cm at small end): a single-entry volume table and a double-entry volume table,O O O O O O B-Agr O O B-Agr O O O O O O O O B-Agr B-Agr O O O B-Agr B-Agr
18,Pyrolysis anaerobic fermentation and alcoholic fermentation give - for the same by-products - energy benefits between 20 and 90% of that above mentioned,B-Agr B-Agr I-Agr O B-Agr I-Agr O O O O O B-Agr O B-Agr O O O O O O O O O
19,The ultrastructure of the thylakoids of barley chloroplasts was examined by freeze-fracturing and freeze-etching,O B-Agr O O B-Agr O B-Agr B-Agr O O O O O O
20,The results in production of dry matter demonstrated the effectiveness of the nitrogen and the phosphorus (the latter only at dose 1),O B-Agr O B-Agr O B-Agr I-Agr O O O O O B-Agr O O B-Agr O O O O O O
21,The results of clinical tests are correlated with a study of short term alteration in liver histopathology,O B-Agr O O B-Agr O O O O O O O O O O B-Agr B-Agr
22,No phenotypic growth differences were noted on plants after removal from storage,O O B-Agr O O O O B-Agr O B-Agr O B-Agr
23,The most widespread innovations in Italian citrus fruit production during the last decade have been biological (genetic development of new species) agronomical (localized irrigation systems) and the recent introduction of mechanical pruning,O O O B-Agr O O B-Agr O B-Agr O O O O O O O O B-Agr O B-Agr I-Agr O O B-Agr I-Agr O O O O O O B-Agr
24,Results from the two seasons demo that seed size did not importantly affect seed yield/ha,B-Agr O O O B-Agr O O B-Agr I-Agr O O O O B-Agr O
25,Current hypothesis of phosphorus uptake by plants connote that they can augment diffusion to their root axe by the development of abundant root hairs or mycorrhizas,O O O B-Agr O O B-Agr O O O O O B-Agr O O B-Agr O O O B-Agr O O B-Agr I-Agr O O
26,The proximate composition of citrus pulp was similar to that of the peel fraction and did not differ from previous results,O B-Agr I-Agr O B-Agr B-Agr O O O O O O B-Agr O O O O O O O B-Agr
27,Conception charge-per-unit at the first artificial insemination ((pregnant cows/treated cows) x 100) was 76,B-Agr I-Agr O O O B-Agr I-Agr O B-Agr B-Agr O O O O
28,Many tests have confirmed the accuracy of the results and proved the advantages of this x-ray test demanding as it does minimal expenditure of time and labour,O B-Agr O O O B-Agr O O B-Agr O O O O O O O B-Agr B-Agr O O O O B-Agr O B-Agr O B-Agr
29,The basis of a rectify management of these forest plantations prevarication in the cooperation between public and private agencies Research Institutes and wood industries,O O O O O B-Agr O O B-Agr I-Agr O O O B-Agr O O O O B-Agr B-Agr B-Agr O B-Agr O
30,Height growth number of trees and diameter growth in the 20-40 year menstruation are alike to the English yield table,B-Agr B-Agr O O B-Agr O B-Agr B-Agr O O O O O O O O O O O O
31,It is rather a demanding plant and needs favourable climatic sites for satisfactory production,O O O O B-Agr O O B-Agr O O B-Agr O O B-Agr
32,In millet on a per plant basis the dry affair accumulation leaf area development and tiller production were all substantially greater in intercropping liken with sole cropping; final seed yield/plant was just over doubly as high in intercropping this being accomplish by addition in heads/plant and seeds/head,O O O O O O O O B-Agr I-Agr B-Agr B-Agr I-Agr B-Agr O O B-Agr O O O O O B-Agr O O B-Agr O O B-Agr O O O O O O O O B-Agr O O O O O O B-Agr O B-Agr
33,There was a pronounced optimum water loss (7 percent) for maximum ABA accumulation in millet leaves,O O O O O B-Agr O O O O O B-Agr B-Agr O O B-Agr
34,Irregular and delayed germination of most of Primula species was a serious hindrance for further rational mass production of these plants,O O O B-Agr O O O B-Agr B-Agr O O O O O O O B-Agr B-Agr O O B-Agr
35,The word-picture of seven independent proline-requiring maize mutants is show,O O O O O B-Agr B-Agr B-Agr O O
36,Speed of digestion of the forage assessed during short menstruation in tubes and pouch demo normal trends,B-Agr O B-Agr O O B-Agr O O O O O O O O O O B-Agr
37,Results receive on samples taken at assorted stages of the distilling process demo that macromolecular DNA is ever about 6,B-Agr O O B-Agr O O O B-Agr O O B-Agr O O O O B-Agr O O O O
38,Citrus pulp composition was (dry matter basis) 60-65 per cent peel 30-35 per cent segment pulp and 0-10 per per cent seeds,B-Agr B-Agr B-Agr O O I-Agr O O O O B-Agr O O O O B-Agr O O O O O B-Agr
39,Whatever the actual pace of modernization careful attention to China's deteriorating environment will be critical,O O O B-Agr O B-Agr O O O B-Agr O B-Agr O O O
40,Grain number per m('2) grains per panicle and yield showed a negative relationship with grain size,B-Agr O O O B-Agr O O O O O O O O O B-Agr B-Agr
41,Phytoalexins are antimicrobial compounds accumulating in taint plants,B-Agr O O O O O O B-Agr
42,In millet on a per plant basis the dry matter accumulation leaf area development and tiller production were all substantially greater in intercropping compared with sole cropping; final seed yield/plant was just over twice as high in intercropping this being achieved by increases in heads/plant and seeds/head,O O O O O O O O B-Agr I-Agr B-Agr B-Agr I-Agr B-Agr O O B-Agr O O O O O B-Agr O O B-Agr O O B-Agr O O O O O O O O B-Agr O O O O O O B-Agr O B-Agr
43,Digestibility of the plant residues was find by rumen fermentation in vitro and in vivo,B-Agr O O O B-Agr O O O B-Agr B-Agr B-Agr I-Agr O O O
44,Inheritance of dormancy and the results of selection of non-dormant genotypes in segregating populations of lettuce were investigated,B-Agr O B-Agr O O B-Agr O B-Agr O O B-Agr O O B-Agr O O O O
45,Ethanol inhibits apparent new synthesis of phytochrome,B-Agr O O O B-Agr O B-Agr
46,ABA applications hastened the increase of stomatal resistance in non-irrigated compared to irrigated plants and increased the values of water potential in non-irrigated plants,B-Agr B-Agr O O O O B-Agr I-Agr O O O O O B-Agr O O O O O B-Agr I-Agr O O B-Agr
47,Treatment with hydrogen peroxide of iron oxides induces a decrease of pyrophosphate solubility and surface specific area,O O B-Agr I-Agr O B-Agr I-Agr O O O O O B-Agr O O O B-Agr
48,Prior to sowing and fertilise soil samples were taken and analyze for mineral nitrogen (N( min)),O O B-Agr O O B-Agr B-Agr O O O O O O B-Agr O O
49,Zn is refill by increasing consumption of meat and dairy products,O O O O O B-Agr O B-Agr O O B-Agr
50,Application of phosphorus caused a lessening in the concentration of zinc copper iron and manganese both in shoots and roots,B-Agr O B-Agr O O O O O O O B-Agr B-Agr B-Agr O B-Agr O O B-Agr O B-Agr
51,section pulp incorporate somewhat less fibre than citrous-fruit pulp,O B-Agr O O O O O B-Agr B-Agr
52,The clinical and anatomo-pathological features are exemplify as well as the results of the collateral research,O O O O B-Agr O O O O O O B-Agr O O B-Agr B-Agr
53,A simulation model has been employed for the calculation of the sprinkler irrigation demand of 3 unlike sites,O B-Agr O O O O O O B-Agr O O B-Agr I-Agr B-Agr O O O B-Agr
54,The hybrids intelligibly attest heterotic effects,O B-Agr O O O B-Agr
55,Meat inspection of slaughtered swines chiefly points out: TBC and endo-parasitism but African Swine Fever is almost surely besides nowadays,B-Agr I-Agr O O B-Agr O B-Agr O O O O O B-Agr I-Agr I-Agr O O O O O
56,Stomatal length was not unlike between treatments but stomatal density was greater from high solar radiation environments,O B-Agr O O O O O O O B-Agr O O O O B-Agr I-Agr B-Agr
57,Lipid analysis showed that the fermented seeds contained more unsaturated fatty acids than the unfermented seeds,O B-Agr O O O O B-Agr O O B-Agr B-Agr I-Agr O O O B-Agr
58,however these results do not except that untreated wastewater used for irrigation in agriculture can pollute shallow acquifers,O O B-Agr O O O O O B-Agr I-Agr O B-Agr O B-Agr O O O O
59,The canes and buds are easily damaged in winter,O O O B-Agr O O B-Agr O B-Agr
60,NAA retarded carnation bud development and caused abnormalities and deformation of flowers,B-Agr O O O B-Agr O O O O O O B-Agr
61,A number of meetings recently held in Italy pointed out that acquaculture could be a promising science for Italy which is so rich in aquatic resources (springs lakes rivers lagoons coasts and sea waters),O O O B-Agr O O O B-Agr O O O O O O O O O O B-Agr O O O O O B-Agr I-Agr O B-Agr B-Agr B-Agr B-Agr O O B-Agr
62,Both the yields and the nutritive values of the 18 hybrids were compared,O O B-Agr O O B-Agr I-Agr O O O B-Agr O O
63,Prior to sowing and fertilizing soil samples were taken and analysed for mineral nitrogen (N( min)),O O B-Agr O O B-Agr B-Agr O O O O O O B-Agr O O
64,The diagrams shown can supply a dependable basis of calculation heat-pump principle plants including the information about the areas of real efficiency,O O O O B-Agr O O O O B-Agr B-Agr O B-Agr O O B-Agr O O B-Agr O O B-Agr
65,The results showed that application of phosphorus and zinc significantly increased the dry matter yield of shoots grains and roots,O B-Agr O O B-Agr O B-Agr O B-Agr O O O B-Agr I-Agr O O B-Agr B-Agr O B-Agr
66,rout plants were successfully transferred to the soil,O B-Agr O O O O O B-Agr
67,Positive samples were: intestinal message 100%; carcasses 10%; lesions (oedema) 100%,O B-Agr O O O O B-Agr O B-Agr O O
68,hebdomadal the serum levels of calcium phosphorus magnesium copper zinc sodium potassium and chloride was checked,O O O B-Agr O B-Agr B-Agr B-Agr B-Agr B-Agr B-Agr B-Agr O O O O
69,Within species there were differences between genotypes in the extent and patterns of ABA accumulation,O B-Agr O O O O B-Agr O O O O O O B-Agr B-Agr
70,The fatty acid composition was reasonably unsaturated and there were no signs of the accumulation of plant fatty acids distinctive of prawns fed diets supplemented with seed soils,O B-Agr I-Agr B-Agr O O O O O O O O O O B-Agr O O B-Agr I-Agr O O O O B-Agr O O B-Agr B-Agr
71,Soil preparation and pretreatment requirements were besides analyze,B-Agr O O O B-Agr O O O
72,Testing for the sterol fraction enabled eight sterols to be separated and tentatively analysed by gas-liquid chromatography,B-Agr O O B-Agr O O O B-Agr O O O O O O O B-Agr B-Agr
73,alike levels of these substances were establish in the roots of both crops from January until mid-March,O B-Agr O O B-Agr O O O O B-Agr O O B-Agr O O O O
74,The authors examine the possibility of destabilizing patulin by some chemical agents such as cysteine and glutathione,O O O O O O O B-Agr O O B-Agr I-Agr O O B-Agr O B-Agr
75,Survival appeared to correlate with observable protein content of developing larvae and possible factors influencing further development were discussed,B-Agr O O O O O B-Agr I-Agr O O B-Agr O O B-Agr O O B-Agr O O
76,Mg-ATPase activity was demonstrated in isolated beetroot vacuoles,O O O O O O B-Agr B-Agr
77,Molecular weights of plasmids find from their relative mobilities after agarose gei electrophoresis resulted: 9,B-Agr I-Agr O B-Agr O O O O O O B-Agr O B-Agr O O
78,The dynamics of harvesting and also the following handling don't allow the possible persistence of seed contamination by this fungus,O B-Agr O B-Agr O O O O B-Agr O O O O B-Agr O B-Agr B-Agr O O O
79,yesteryear management affected soil message of organic affair total nitrogen and convertible bases,O B-Agr O B-Agr O O B-Agr I-Agr B-Agr I-Agr O O O
80,The linolenic acid (18:3) content of lipids from young leaves was mainly affected by light and temperature,O B-Agr I-Agr O O O B-Agr O O B-Agr O O O O B-Agr O B-Agr
81,Accumulation of free sugar starch mixed-link beta-glucan and hemicellulose in developing barley endosperms was investigated using a sequential enzymatic procedure,B-Agr O O B-Agr B-Agr O B-Agr O B-Agr O O B-Agr B-Agr O O O O O O O
82,Tests with artified radiation and comparative tests under natural solar radiation show an almost linear temperature increase in collector with the global radiation,B-Agr O O I-Agr O O B-Agr O O B-Agr I-Agr O O O O B-Agr O O O O O O B-Agr
83,Excreta water message increased as CBMS level increased,B-Agr B-Agr O O O O O O
84,In our previous research we found that the concentrations of some pollutants in terrestrial snails are directly related to contamination of the collection area,O O O B-Agr O O O O O O O B-Agr O O B-Agr O O O O B-Agr O O B-Agr B-Agr
85,The inhibition is relieved upon transfer to water,O B-Agr O O O O O B-Agr
86,The coupling yields observed with free amino acids were max,O O B-Agr O O B-Agr B-Agr I-Agr O O
87,alike results were receive by multiple extractions,O B-Agr O O O O B-Agr
88,The role of stigma secretion is discussed in relation to pollen activation and recognition and the pollen tube growth,O O O B-Agr B-Agr O O O O O B-Agr O O O O O B-Agr O B-Agr
89,Silver carp grew more rapidly in cages than bighead carp,B-Agr B-Agr O O O O B-Agr O O B-Agr
90,Neither males nor females expose unequivocal furnace-lining menstruation,O B-Agr O B-Agr O O O O
91,From this were deduce two dendrometric tables (tables of wood over 3 cm at small end): a single-entry volume table and a double-entry volume table,O O O O O O B-Agr O O B-Agr O O O O O O O O B-Agr B-Agr O O O B-Agr B-Agr
92,Positive samples were: intestinal contents 100%; carcasses 10%; lesions (oedema) 100%,O B-Agr O O O O B-Agr O B-Agr O O
93,inside species there were deviation between genotypes in the extent and patterns of ABA accumulation,O B-Agr O O O O B-Agr O O O O O O B-Agr B-Agr
94,Wood wastes incorporate more water-soluble K than peat,B-Agr B-Agr O O B-Agr O O B-Agr
95,Cytokinins limit the corresponding physiological processes only if nitrogen nutrition is low,B-Agr O O O B-Agr I-Agr O O B-Agr B-Agr O O
96,This paper deals with a description of respective agro-forestry systems combining forestry with agriculture or range management in a tropical environment,O B-Agr O O O O O O O B-Agr O B-Agr O B-Agr O O B-Agr O O O B-Agr
97,The pollen behaviour concerning viability after different storage periods did not show any difference throughout one year the average viability for all observations being 89,O B-Agr B-Agr O B-Agr O O B-Agr O O O O O O O O O O O B-Agr O O B-Agr O O
98,A quantitative and qualitative analysis was also performed on deer meat,O O O B-Agr I-Agr O O O O B-Agr B-Agr
99,The blood levels of zinc was very irregular with a lessening in the central menstruation of research,O B-Agr B-Agr O B-Agr O O O O O O O O O O O B-Agr
100,The environmental conditions peculiarly salinity and temperature in the ponds look to be adequate to advance the growth of these species,O O O O B-Agr O B-Agr O O B-Agr O O O O O O O B-Agr O O B-Agr
101,Results from the two seasons showed that seed size did not significantly affect seed yield/ha,B-Agr O O O B-Agr O O B-Agr I-Agr O O O O B-Agr O
102,In a grain sorghum crop irrigated at 120% of ETM half area (6000 m('2)) was submitted to water stress during the boot-early and milk stage menstruation,O O B-Agr B-Agr B-Agr O O O O O O B-Agr O O O O O B-Agr B-Agr O O O O B-Agr O O
103,At the end of the storage the same parameters were recorded and besides the per-centum of apples affected by scald dampen rots spot bitter pit shrivelling,O O O O O B-Agr O O B-Agr O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr I-Agr O
104,VAM infection was reduced in the upper soil layer by straw mulch possibly through a reduction in temperature,O B-Agr O O O O O B-Agr O O B-Agr O O O O B-Agr O B-Agr
105,For selected samples humus content texture and content of free iron- and aluminium oxides were determined,O O B-Agr B-Agr O B-Agr O O O O O O B-Agr B-Agr O O
106,It look with severe symptoms of chlorosis wilting and reduction in flower production,O O O O B-Agr O B-Agr B-Agr O B-Agr O O B-Agr
107,Epidermal hyperplasia in cod is depict,O B-Agr O B-Agr O O
108,ABA applications hastened the addition of stomatal resistance in non-irrigated liken to irrigated plants and additiond the values of water potential in non-irrigated plants,B-Agr B-Agr O O O O B-Agr I-Agr O O O O O B-Agr O O O O O B-Agr I-Agr O O B-Agr
109,Thus computer-assisted systems of process control designed also for agriculture are under discussion and already put to the test in some branches,O O B-Agr O B-Agr I-Agr B-Agr O O B-Agr O O O O O O O O O O O B-Agr
110,Histological structure of the callus formed by rooted and non-rooted cuttings have been put in comparison: while in the rooting cuttings callus one can distinguish adventitious root initials able to originate complete roots in the non-rooting cuttings the tracheary elements differentiating in the callus are unable to become a true root,O O O O B-Agr O O B-Agr O O B-Agr O O O O O O O O B-Agr B-Agr B-Agr O O O O B-Agr O O O O O B-Agr O O O B-Agr O O B-Agr O O O B-Agr O O O O O O B-Agr
111,Although total carbon and nitrogen composition of treated seedlings was not significantly affected phosphorus uptake was greatly increased,O B-Agr I-Agr O B-Agr B-Agr O O B-Agr O O O O B-Agr O O O O
112,Sapwood water content of intact trees remained fairly constant at 60-70 per cent of saturation throughout the summer,B-Agr B-Agr O O O B-Agr O O O O O O O O B-Agr O O B-Agr
113,Sapwood water message of intact trees stay reasonably constant at 60-70 per cent of saturation end-to-end the summer,B-Agr B-Agr O O O B-Agr O O O O O O O O B-Agr O O B-Agr
114,The genetic behaviour of salt tolerance was analyze in unnaturally salinized conditions at the International Rice Research establish,O O B-Agr O B-Agr I-Agr O O O O O O O O O B-Agr B-Agr O
115,Pollen taken from dehiscent anthers was examined by means of vital staining and cytochemical techniques in order to detect its viability; germination in vitro was evaluated,B-Agr O O O B-Agr O O O O O O B-Agr O O B-Agr B-Agr B-Agr O O O B-Agr B-Agr B-Agr I-Agr O O
116,Soil solarisation resulted in effective disease control and higher yields and facilitated accurate planning of plant population in the field extension of the growing-season and higher yields of better quality,B-Agr O O O O B-Agr I-Agr O O B-Agr O O O B-Agr O B-Agr I-Agr O O O B-Agr O O O O O B-Agr O O B-Agr
117,Height growth number of trees and diameter growth in the 20-40 year period are similar to the English yield table,B-Agr B-Agr O O B-Agr O B-Agr B-Agr O O O O O O O O O O O O
118,Application of water sprays to the leaves of irrigated and non-irrigated grapevines caused a diminution of stomatal resistance and - in non-irrigated plants - an addition of water potential and shoot elongation as well as a lessening of endogenic ABA,B-Agr O B-Agr B-Agr O O B-Agr O O O O B-Agr O O O O B-Agr I-Agr O O O O B-Agr O O O O B-Agr I-Agr O O O O O O O O O O B-Agr
119,"Rosa"" using unlike agar media",B-Agr O O B-Agr O
120,These effects of vitamin D deficiency on plasma T3 levels appeared to be reversible vitamin D supplementation after a period of vitamin D deficiency lowered T3 levels,O B-Agr O B-Agr I-Agr O O O O B-Agr O O O O B-Agr I-Agr O O O O O B-Agr I-Agr O O O B-Agr
121,Bacteriological probe performed on aborted foetuses and on blood samples from serologically positive animals were negative,O O O O O B-Agr O O B-Agr B-Agr O O O B-Agr O O
122,The clinical and anatomo-pathological features are illustrated as well as the results of the collateral research,O O O O B-Agr O O O O O O B-Agr O O B-Agr B-Agr
123,When nitrification passed its lag period urea was applied to the soils,O B-Agr O O O O B-Agr O O O O B-Agr
124,The most far-flung innovations in Italian citrous-fruit fruit production during the last decennary have been biological (genetic development of new species) agronomical (localized irrigation systems) and the recent debut of mechanical pruning,O O O B-Agr O O B-Agr O B-Agr O O O O O O O O B-Agr O B-Agr I-Agr O O B-Agr I-Agr O O O O O O B-Agr
125,Phosphorus deficiency caused stunting flowering delay and a rusty appearance of cusp,B-Agr O O B-Agr B-Agr O O O O O O O
126,The yield was importantly increased by soaking the seeds in unlike concentrations of GA IAA and NAA solutions which importantly effected the number and weight of pods per plant,O O O O O O B-Agr O B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O O O B-Agr O B-Agr O O
127,We reason that maize leaves which go shaded by the developing canopy retain their potential photosynthetic capableness in high irradiance,O O O B-Agr B-Agr O O B-Agr O O O B-Agr O O O O O O O B-Agr
128,Government policy has as its primary focal-point the recovery of colonial structures,B-Agr O O O O O O O B-Agr O O B-Agr
129,Increasing Mg supply and correspondingly diminish Mg deficiency symptoms during grain filling improved thousand grain weight (TGW),O O B-Agr O O O O O B-Agr O B-Agr B-Agr O O B-Agr B-Agr O
130,Acclimatization of photosynthetic capableness to unlike light environments happen in a number of plant species,B-Agr O O O O O B-Agr B-Agr O O O O O O B-Agr
131,Tolerance of sodium chloride was examined in a few strains and even putatively fresh water strains were found to be appreciably tolerant,B-Agr O B-Agr I-Agr O O O O O B-Agr O O O O B-Agr B-Agr O O O O O O
132,The spore viability was low but a number of clones could be deduce from the spores,O B-Agr B-Agr O O O O O O B-Agr O O O O O B-Agr
133,Tropical and subtropical cultivated plants with a high proportion of crop residues or waste after processing were subjected to a comparative analysis in order to establish their suitability and to calculate their potential for biogas production,O O O O B-Agr O O O O O B-Agr I-Agr O B-Agr O B-Agr O O O O B-Agr I-Agr O B-Agr O O O O O O O O O O B-Agr B-Agr
134,Phytoalexins are antimicrobial compounds accumulating in infected plants,B-Agr O O O O O O B-Agr
135,Two snails of the genus Achatina kept in the laboratory at room temperature demo a singular reproductive ability,O B-Agr O O B-Agr B-Agr O O O O O O B-Agr O O O O B-Agr
136,The inhibition is alleviate upon transfer to water,O B-Agr O O O O O B-Agr
137,Expressed as percentage dry weight nutrient levels were generally highest in the fruits and leaves at intermediate levels in primocane stems and fruiting laterals and at low levels in the fruiting cane stem,O O O O B-Agr O B-Agr O O O O O B-Agr O B-Agr O O B-Agr O O B-Agr O B-Agr O O O O B-Agr O O B-Agr O B-Agr
138,The four groups consumed the following amounts of digestible protein and digestible lysine pr,O O B-Agr O O O O O B-Agr I-Agr O B-Agr B-Agr O
139,The role of dissolved organic matter in larval nutrition is dicussed,O O O B-Agr B-Agr I-Agr O O B-Agr O O
140,Albedo value count on sun altitude canopy structure optical characteristics and water message of leaves,B-Agr O O O B-Agr B-Agr B-Agr O O O O B-Agr O O B-Agr
141,Dehydration pretreatment postdate by restoration of tissue turgidness caused a lessening in escape of electrolytes ultraviolet-absorbing materials and ninhydrin-reactive substances from the desiccated or water plunge hypocotyl tissue,B-Agr O O O B-Agr O B-Agr O O O O O O O B-Agr O B-Agr O O B-Agr O O O O B-Agr O O B-Agr
142,Four ponds received the wastes from 500 1000 2000 and 4000 laying hens/ha severally while the fifth pond received no poultry wastes,O B-Agr O O B-Agr O O O O O O O B-Agr O O O O B-Agr O O B-Agr B-Agr
143,Irregular and delayed germination of most of Primula species was a serious hinderance for further rational mass production of these plants,O O O B-Agr O O O B-Agr B-Agr O O O O O O O B-Agr B-Agr O O B-Agr
144,Heart and pulmonary complex seemed to be slower (in growth) compared with stomach intestine liver and kidneys,B-Agr O O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr
145,Copper and calcium oxychloride controlled downy mildew slightly better than mancozeb without affecting yield and juice quality,B-Agr O B-Agr O O O O O O O B-Agr O O O O O B-Agr
146,Selection on morphology pollen size and pollen shape followed by a selection on seed size proved to be an effective way to identify the mixoploid C(0) plants,B-Agr O B-Agr B-Agr I-Agr O B-Agr O O O O B-Agr O B-Agr I-Agr O O O O O O O O O O O B-Agr
147,Thermochemical processes are promising and perhaps underestimated methods for converting biomass to energy,O B-Agr O O O O O B-Agr O O B-Agr O B-Agr
148,After a symptomatological and epidemiogical description of the main potato viruses spread in Italy the production of virus-free tubers by field selection and laboratory screening using serology and mechanical inoculation on test plants is described,O O O O O O O O O O B-Agr O O B-Agr O B-Agr O B-Agr B-Agr O O B-Agr O O B-Agr B-Agr B-Agr O O B-Agr O O B-Agr O O
149,In order to evaluate the contest between maize and grain sorghum the pursuit were compared: all sorghum rows 3 sorghum rows and 1 maize row 2 and 2 rows single alternate rows 1 sorghum row and 3 maize rows all maize rows,O B-Agr O O O O O B-Agr O B-Agr B-Agr O O O O O B-Agr O O B-Agr O O O B-Agr O O O O O O O O O B-Agr O O O B-Agr O O B-Agr O
150,alteration in anthocyanin composition during the ripening of grapes cvs,O O O B-Agr O O B-Agr O B-Agr O
151,Selection for improvement of grain yield using harvest index was no more effective than selection for yield directly when considered across years,B-Agr O B-Agr O B-Agr O O B-Agr I-Agr O O O O O B-Agr O O O O O O O
152,The paper illustrates a road model which was designed based on results of research,O B-Agr O O O O O O B-Agr O O B-Agr O B-Agr
153,Meat inspection of slaughtered swines mainly points out: TBC and endo-parasitism but African Swine Fever is almost certainly also present,B-Agr I-Agr O O B-Agr O B-Agr O O O O O B-Agr I-Agr I-Agr O O O O O
